Question	Answer
Is q compiled or interpreted?	Interpreted
Is q dynamically or statically typed?	Statically typed
Is q declarative or imperative programming and why?	q is declarative programming because you type what you want to do not how to do it
What data structures is q based on?	Lists and dictionaries
What character is used for division?	%
What data type does division return?	Float
How do you write a list in Q?	(1 3 5 7 9)
What operator counts a list of values?	count
What kind of precedence does q use?	All operators have the same precedence
What order are operators evaluated in?	Right to left
What operator generates a list of numbers?	til
How do you write a list of booleans in q?	101101b
How do you compare two values?	a=b
How are dates and times computed under the hood?	A count of days from the millenium and time from midnight
What happens if you compared a date with an integer?	The interpreter compares compatible underlying numeric values and return a boolean
How do you define a month?	2000.01m
How do you cast?	`datatype$value
How do you add a list of numbers?	Initialise to zero and add across the list: 0 +/ 10 20 30 40 50
What is the / operator and what does it do?	It is often called ``over'' in q, in functional progamming it's called ``fold'', and it takes an arithmetic operator to its left and uses it to operate across a whole list rather than just two numbers
What is the | operator and what does it do?	It returns the greater of two values e.g. x|y
What is the & operator and what does it do?	It returns the lesser of two values e.g. x&y
What is \ and what does it do?	Same as / but it keeps all the intermediate results
What are two examples of writing a function that squares 5?	{[x]x*x}5 and {x*x}5
How would you show 16 decimal places in the console?	\P 16
How would you retrieve x items from a list?	Using the # operator with a postive value retrieves x values from the start of the list and a negative values retrieves x values from the end of list
How do you join lists together?	Using the , operator e.g. 10 20 , 30 40 50
How would you compute the first 10 numbers of the fibonacci sequence?	{x,sum -2#x}/[10;1 1]
What does deltas do?	deltas computes the successive differences across a numeric list
How do you do assign the variable a with the value 42?	a:42
What is a table?	A collection of columns
What is a column?	A list
How do you sort a table called t by time within date?	t:`date`time xasc t
How do you time a statement?	Prepend \texttt{\textbackslash t} to the statement
How do you open port 4242?	\p 4242
How do you connect to port 4242 on the same machine?	hopen `::4242 or hopen `:localhost:4242
How do you write the fourth hitchhiker's book title to the file /data/solong.txt?	`:/data/solong.txt 0: (``So long'';``and thanks'';``for all the fish'')
How do you read the file /data/solong.txt?	read0 `:/data/solong.txt
